District Name;District ID;PO Group;Purchase Order Number;PO Start Date;PO Expiry Date;License Type;Total License Count;Redeemed Count;Product Titles;Number of Users Assigned
Brandywine Heights Area School District ;72470;Active PO;ZQ001309_BrandywineHeights_PortfolioDeutschNeu;2024-09-30;2025-11-03;User;30;2;"Portfolio Deutsch Neu, Level 1 - Teacher's Manual; Portfolio Deutsch Neu, Level 1 - Textbook; Portfolio Deutsch Neu, Level 1 - Workbook; Portfolio Deutsch Neu, Level 2 - Teacher’s Manual; Portfolio Deutsch Neu, Level 2 - Textbook; Portfolio Deutsch Neu, Level 2 - Workbook";13
San Diego Unified School District;72807;Active PO;PO0000437538_Reporteros1;2024-10-11;2025-11-14;User;45;2;Reporteros 1;22
Jackson County School District;67111;Active PO;PO_ 76032_Mapas;2024-06-10;2027-07-19;User;300;3;"Mapas 1; Mapas 2";6
Jackson County School District;67111;Active PO;PO_ 76032__Reporteros;2024-06-10;2027-07-19;User;4900;6;"Reporteros 1; Reporteros 2 ; Reporteros 3; Reporteros 4";500
Jackson County School District;67111;Active PO;PO_ 76032_Reporters_Francophones;2024-06-10;2027-07-19;User;833;3;"Reporters francophones 3; Reporters francophones 1; Reporters francophones 2";92
Kern High School District;72089;Active PO;KSO4355000002108186_RidgeviewHS_Rep1-2_Clever;2024-09-16;2025-10-20;User;1190;2;"Reporteros 1; Reporteros 2";333
Eau Claire Area School District;72056;Active PO;PO#ZQ002936_EauClaireSDWI_KlasseB1;;2025-10-22;User;;;;0
Divine Savior Academy;71173;Active PO;PO_PF4856_reportersfrancophones1;2024-08-27;2025-09-30;User;30;2;Reporters francophones 1;27
Divine Savior Academy;71173;Active PO;PO_PF4856_reportersfrancophones2;2024-08-27;2025-09-30;User;20;2;Reporters francophones 2;19
Divine Savior Academy;71173;Active PO;PO_PF4856_reportersfrancophones3;2024-08-27;2025-09-30;User;30;2;Reporters francophones 3;29
Divine Savior Academy;71173;Active PO;PO_PF4856_reportersfrancophonesALL;2024-09-09;2025-09-05;User;75;2;"Reporters francophones 3; Reporters francophones 1; Reporters francophones 2";12
Divine Savior Academy;71173;Expired PO;Divine Savior Academy_DEMO;2024-08-26;2024-12-03;User;3;1;"Reporters francophones 3; Reporters francophones 1; Reporters francophones 2";3
Poplar Bluff School District R1;70905;Active PO;24-0000-16458_PoplarBluffSD_ReporterosSeries;2024-08-23;2025-09-26;User;1760;2;"Reporteros 1; Reporteros 2 ; Reporteros 3";217
Hesperia Unified School District;69253;Active PO;Hesperia_PO243058_PO250644_Mapas1-2;2024-08-05;2025-09-08;User;9000;4;"Mapas 1; Mapas 2";500
Rowland Unified School District;63286;Active PO;PO25-01002_Reportersfrancophones1-3_24hParis;2024-08-16;2025-09-19;User;500;3;"Reporters francophones 3; 24 heures à Paris; Reporters francophones 1; Reporters francophones 2";197
