school_name,school_id
Unidos Mdl,61429
Solon City Schools,63680
Hedgesville Middle School,60491
Martinsburg South Middle School,60493
Musselman Middle School,60494
Thornton Middle School,63452
William Hopkins Middle School,62010
Centerville Middle School,62009
John J. Young Middle School,60586
Newport High School,59870
Interlake High School,59871
International School,59867
Odle Middle School,59866
Maplewood High School (Demo),62978
Windy City High School (Demo),62977
Maplewood High School (Demo)2023-11-28 20:01:39.677,62971
Windy City High School2023-11-28 20:01:29.103,62972
Martinsburg High School,60486
Spring Mills High School,60489
King's School2023-10-20 16:07:37.561,62463
King's Schools,62420
King's Schools (WA)2023-10-13 14:14:05.618,62149
Berthoud High School,61898
Mountain View High School,61897
Lucile Erwin Middle School,61442
Turner Middle School,61896
Thompson Valley High School,61895
Bill Reed Middle School,61441
Walt Clark Middle School,61894
Harold Ferguson High School,61893
Loveland High School,61892
Yorba Linda Middle School,61687
Travis Middle School,61686
Tuffree Middle School,61684
Kraemer Middle School,61683
Parkview School,61682
Buena Vista Virtual Academy,61681
Yorba Linda High School,61680
Esperanza High School,61679
El Dorado High School,61677
Valencia High School,61675
Miller Middle School,59883
Kennedy Middle School,59882
Hyde Middle School,59880
Cupertino Middle School,59876
Lawson Middle School,59875
MBSCHOOL,61465
Kingston High School,61364
Roycemore School,61256
Ideaventions Academy,61245
Platte County School District 1,56223
Canyon Crest Academy,59680
La Costa Canyon High School,59676
Torrey Pines High School,59669
San Dieguito Academy,59665
Oak Crest Middle School,59662
Diegueno Middle School,59660
Pacific Trails Middle School,59657
Earl Warren Middle School,59650
Carmel Valley Middle School,59647
Montabella Junior/Senior High,61009
King School,60927
Fremont Unified School District--Circle of Independent Learning,60718
Durham Academy,60707
Great Bridge Middle School,60653
Western Branch High School,60652
Oscar Smith High School,60651
Indian River High School,60650
Hickory High School,60649
Grassfield High School,60648
Great Bridge High School,60647
Deep Creek High School,60646
Millard Public Schools,60078
Kavod Charter School2023-08-14 16:13:39.118,60555
Walden School,58901
Lausanne Collegiate School (TN),60340
Fox Valley Lutheran High School2023-08-07 18:42:21.678,60283
Cedar Cliff Local School District,60273
DIFU School,60270
All Saints Academy,60263
Neenah Lutheran School,60237
W.E.B. DuBois Academy,60236
Trinity Episcopal School,59619
Millard North High School2023-07-27 14:59:44.755,59635
West High School2023-07-25 21:04:47.697,59549
South High School2023-07-25 21:04:37.948,59550
North High School2023-07-25 21:04:30.777,59551
Montabella,59568
Test School,59522
Test School2023-07-21 14:24:58.557,59521
Dummy School,59495
Klett World Languages Internal Team,59462
TestDSchool 17 Jul,59425
Magic Demo School,59231
Mishawaka,59162
Mishawaka High School2023-07-06 17:57:46.883,59161
Mishawaka High School2023-07-06 17:37:27.951,59160
Utah State Board of Education2023-06-29 20:26:38.238,58951
Placentia-Yorba Linda Unified School District2023-06-29 17:00:52.203,58965
The Walden School2023-06-23 14:23:45.813,58844
San Dieguito HS Academy,58729
whatever2023-06-15 18:28:58.845,58727
San Dieguito HS Academy2023-06-15 18:18:57.044,58720
San Dieguito HS Academy2023-06-15 15:47:59.944,58719
San Dieguito HS Academy2023-06-15 15:46:45.093,58716
San Dieguito HS Academy2023-06-15 15:12:16.025,58715
MBQA School,57816
Alhambra USD (CA),57612
School C,56943
Lorain City Schools,56517
Berkeley County School (WV),56277
Midwood High School,56276
Fruitport Community Schools,56275
Fayette County Schools,56273
School B,56234
School A,56233
Gulliver Preparatory Schools,56168
St. Andrew's School,56165
The Episcopal School of Dallas,56164
Crawfordsville Community Schools,56159
City School District of Albany,56141
Barbour County Schools,56140
Victor Valley Union High School District,56065
North Cross School,56064
Township High School District 214,56035
Salisbury School,56033
Greece Central School District,56029
Provo City School District,56028
Pioneer Central Schools,55997
Orange County Public Schools,55996
Georgetown Day School,55980
Conference,55978
Topeka Public Schools,55975
Pine Richland School District,55969
Thompson School District,55964
Harrison County Schools,55956
Kirkwood School District,55939
Union County Public Schools,55928
North Plainfield School District,55926
Cannon-McMillan,55570
Upper Arlington City School District,55540
North Kitsap School District,55488
Pellissippi State Community College,55270
Littleton PS,55268
Birmingham Public Schools,55219
Phoenix Union,54960
Green Bay,54723
Simi Valley,54722
Oro Grande,54696
Magic School,54547
Klett School Demo,54130
klettt School,53368
Klett School 13,53313
Klett,37603
