districtId,districtName,schoolId,schoolName,studentcount,teachercount
60484,Berkeley County School District,60489,Spring Mills High School,595,6
60484,Berkeley County School District,60495,Spring Mills Middle School,66,2
60563,Redondo Beach Unified School District,60568,Adams Middle School,512,4
60563,Redondo Beach Unified School District,60569,Parras Middle School,254,1
60563,Redondo Beach Unified School District,60564,Redondo Union High School,1115,8
60563,Redondo Beach Unified School District,78848,Washington School,46,
60585,School City Of Mishawaka,60586,John J. Young Middle School,171,2
60585,School City Of Mishawaka,60587,Mishawaka High School,585,6
60706,Durham Academy,60707,Durham Academy,173,4
60708,Donegal School District,60709,Donegal High School,60,2
60879,Washington County School District,60883,Barbara Ingram School For The Arts,359,40
60879,Washington County School District,78946,Bester Elementary,5,1
60879,Washington County School District,78947,Boonsboro Elementary,2,1
60879,Washington County School District,60882,Boonsboro High School,896,76
60879,Washington County School District,60881,Boonsboro Middle School,877,43
60879,Washington County School District,60970,Boyd J. Michael III Technical High School,642,41
60879,Washington County School District,71212,Clear Spring Elementary,,2
60879,Washington County School District,60885,Clear Spring High School,524,53
60879,Washington County School District,60884,Clear Spring Middle School,471,25
60879,Washington County School District,70424,ConnectED,407,31
60879,Washington County School District,60887,E Russell Hicks Middle School,1247,57
60879,Washington County School District,76988,Eastern Elementary,3,1
60879,Washington County School District,70425,ElectED SupportED,90,20
60879,Washington County School District,72326,Emma K Doub Elementary,1,1
60879,Washington County School District,71213,ExtendED,241,31
60879,Washington County School District,78948,Fountain Rock Elementary,1,1
60879,Washington County School District,71315,Fountaindale Elementary,5,
60879,Washington County School District,78954,Greenbrier Elementary,3,1
60879,Washington County School District,78949,Hancock Elementary,2,
60879,Washington County School District,60886,Hancock Middle-Senior High School,238,32
60879,Washington County School District,78950,Hickory Elementary,1,1
60879,Washington County School District,78951,Jonathan Hager Elementary,4,
60879,Washington County School District,78952,Lincolnshire Elementary,3,1
60879,Washington County School District,78953,Maugansville Elementary,4,2
60879,Washington County School District,60880,North Hagerstown High School,1711,125
60879,Washington County School District,60888,Northern Middle School,1184,69
60879,Washington County School District,63025,Pangborn Boulevard Elementary,,2
60879,Washington County School District,78955,Pleasant Valley Elementary,1,1
60879,Washington County School District,62471,Rockland Woods Elementary,3,2
60879,Washington County School District,78956,Salem Avenue Elementary,5,1
60879,Washington County School District,60889,Smithsburg High School,780,66
60879,Washington County School District,60890,Smithsburg Middle School,756,40
60879,Washington County School District,60891,South Hagerstown High School,1796,129
60879,Washington County School District,60892,Springfield Middle School,1062,57
60879,Washington County School District,70848,Wash County Job Development Center,51,9
60879,Washington County School District,60973,Western Heights Middle School,1213,75
60879,Washington County School District,78957,Williamsport Elementary,3,2
60879,Washington County School District,60893,Williamsport High School,1127,90
60961,Bloomfield Hills School Dist,60962,International Academy,773,9
60965,North Kitsap School District 400,61364,Kingston High School,,
60965,North Kitsap School District 400,63806,NK ONLINE ACADEMY and PAL,1,
60965,North Kitsap School District 400,60966,NORTH KITSAP HIGH SCHOOL,162,1
