"districtId","districtName","schoolId","schoolName","studentcount","teachercount","purchaseOrderNumber","startDate","expiryDate","totalLicenseCount","licenseConsumeCount","productTitles","rawConsumeUserCount","duplicateUserCount","userCounts"
69729,"Portland Public Schools (OR)",72524,"Beverly Cleary K-8",,,,,,,,,,,
69729,"Portland Public Schools (OR)",69740,"Beverly Cleary K-8",153,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69737,"Bridger Creative Science School",78,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69738,"Cesar Chavez K-8",19,2,,,,,,,,,
69729,"Portland Public Schools (OR)",69783,"Clark E.S.",,,,,,,,,,,
69729,"Portland Public Schools (OR)",71083,"Cleveland H.S.",2,,,,,,,,,,
69729,"Portland Public Schools (OR)",69753,"Faubion PK-8",29,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69754,"George M.S.",24,2,,,,,,,,,
69729,"Portland Public Schools (OR)",69764,"Harriet Tubman M.S.",163,2,,,,,,,,,
69729,"Portland Public Schools (OR)",69782,"Harrison Park M.S.",70,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69756,"Hosford M.S.",196,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69771,"Ida B. Wells-Barnett H.S.",3,,,,,,,,,,
69729,"Portland Public Schools (OR)",69733,"Jackson M.S.",175,3,,,,,,,,,
69729,"Portland Public Schools (OR)",69757,"Kellogg M.S.",35,1,,,,,,,,,
69729,"Portland Public Schools (OR)",74708,"Lane M.S.",,,,,,,,,,,
69729,"Portland Public Schools (OR)",69732,"Lane M.S.",191,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69741,"Laurelhurst K-8",171,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69748,"Le Monde French Immersion",105,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69768,"Leodis V. McDaniel H.S.",1,,,,,,,,,,
69729,"Portland Public Schools (OR)",69767,"Lincoln H.S.",5,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69769,"Metropolitan Learning Ctr HS",2,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69770,"Metropolitan Learning Ctr K-8",59,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69758,"Mt Tabor M.S.",64,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69759,"Ockley Green M.S.",42,2,,,,,,,,,
69729,"Portland Public Schools (OR)",69739,"Odyssey Program K-8",24,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69749,"Reconnection Outreach Services",2,,,,,,,,,,
69729,"Portland Public Schools (OR)",69755,"Robert Gray M.S.",160,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69742,"Roseway Heights M.S.",120,2,,,,,,,,,
69729,"Portland Public Schools (OR)",69743,"Sabin E.S.",,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69762,"Sellwood M.S.",191,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69763,"Skyline K-8",75,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69731,"SPED - ESY",4,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69747,"Summer Programs-PPS",72,,,,,,,,,,
69729,"Portland Public Schools (OR)",69744,"Sunnyside Environmental K-8",136,3,,,,,,,,,
69729,"Portland Public Schools (OR)",69745,"Vernon K-8",179,1,,,,,,,,,
69729,"Portland Public Schools (OR)",69765,"West Sylvan M.S.",428,7,,,,,,,,,
69729,"Portland Public Schools (OR)",69735,"Winterhaven K-8",52,2,,,,,,,,,
69729,"Portland Public Schools (OR)",,,,,"Portland_Public_Schools_Reporteros_1_2_migrated","2024-08-12","2025-09-15",8700,1217,"Reporteros 1, Reporteros 2 ",223999,222782,"{""District Admin"":3,""School Teacher"":29,""School Student"":1160,""School Administrator"":25}"
68589,"Loudoun County Public Schools (VA)",70804,"Academies of Loudoun",42,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70806,"Belmont Ridge MS",58,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70808,"Blue Ridge MS",50,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70805,"Brambleton MS",56,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70809,"Briar Woods HS",84,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70807,"Broad Run HS",47,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70810,"Dominion HS",18,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70811,"Eagle Ridge MS",48,2,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70813,"Farmwell Station MS",54,2,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70812,"Freedom HS",114,3,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70815,"Harmony MS",58,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70814,"Harper Park MS",38,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70816,"Heritage HS",63,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70817,"Independence HS",59,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70819,"J. Lupton Simpson MS",10,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70820,"J. Michael Lunsford MS",64,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70818,"John Champe HS",76,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70823,"Lightridge HS",63,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70822,"Loudoun County HS",28,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70824,"Loudoun Valley HS",87,2,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70825,"Mercer MS",31,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70826,"Potomac Falls HS",40,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70827,"River Bend MS",33,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70829,"Riverside HS",75,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70828,"Rock Ridge HS",34,2,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70833,"Seneca Ridge MS",44,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70832,"Smart's Mill MS",30,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70834,"Sterling MS",17,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70830,"Stone Bridge HS",78,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70831,"Stone Hill MS",56,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70836,"Trailside MS",63,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70835,"Tuscarora HS",47,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70878,"Virtual Distance Learning",,,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70877,"Virtual Loudoun HS",197,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70838,"Willard MS",89,1,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",70837,"Woodgrove HS",75,2,,,,,,,,,
68589,"Loudoun County Public Schools (VA)",,,,,"PO_60427_PD_Neu_1","2024-08-20","2025-09-23",10598,95,"Portfolio Deutsch Neu, Level 1 - Textbook",105,10,"{""District Admin"":1,""School Administrator"":30,""School Teacher"":23,""School Student"":41}"
68589,"Loudoun County Public Schools (VA)",,,,,"PO_60427_PD_Neu_2","2024-08-20","2025-09-23",12562,85,"Portfolio Deutsch Neu, Level 2 - Textbook",97,12,"{""District Admin"":1,""School Administrator"":32,""School Teacher"":23,""School Student"":29}"
68589,"Loudoun County Public Schools (VA)",,,,,"PO_60427_PD_Neu_3_4","2024-08-20","2025-09-23",5136,73,"Portfolio Deutsch Neu, Level 3/4 - Textbook",86,13,"{""District Admin"":1,""School Administrator"":33,""School Teacher"":24,""School Student"":15}"
78621,"Kirkwood School District - Classlink",78694,"ASC",,10,,,,,,,,,
78621,"Kirkwood School District - Classlink",78692,"Keysor Elementary",,1,,,,,,,,,
78621,"Kirkwood School District - Classlink",78690,"Kirkwood High School",1684,148,,,,,,,,,
78621,"Kirkwood School District - Classlink",78686,"Nipher Middle School",854,85,,,,,,,,,
78621,"Kirkwood School District - Classlink",78693,"North Glendale Elementary",,4,,,,,,,,,
78621,"Kirkwood School District - Classlink",78691,"North Middle School",694,77,,,,,,,,,
78621,"Kirkwood School District - Classlink",78687,"Robinson Elementary",,2,,,,,,,,,
78621,"Kirkwood School District - Classlink",78688,"Tillman Elementary",,3,,,,,,,,,
78621,"Kirkwood School District - Classlink",78689,"Westchester Elementary",,4,,,,,,,,,
78621,"Kirkwood School District - Classlink",,,,,"PO#02500276_KirkwoodMO_2024Reporteros1","2025-07-08","2027-08-01",1185,2,"Reporteros 1",2,0,"{""District Admin"":2}"
78621,"Kirkwood School District - Classlink",,,,,"PO#02500276_KirkwoodMO_2024Reporteros2","2025-07-08","2027-08-01",672,2,"Reporteros 2 ",2,0,"{""District Admin"":2}"
78621,"Kirkwood School District - Classlink",,,,,"PO#02500276_KirkwoodMO_2024Reporteros3","2025-07-08","2027-08-01",292,2,"Reporteros 3",2,0,"{""District Admin"":2}"
78621,"Kirkwood School District - Classlink",,,,,"PO#02500276_KirkwoodMO_2024Reporteros4","2025-07-08","2027-08-01",120,2,"Reporteros 4",2,0,"{""District Admin"":2}"
78621,"Kirkwood School District - Classlink",,,,,"PO#02500276_KirkwoodMO_2024ReportersFrancophone1","2025-07-09","2027-08-01",595,2,"Reporters francophones 1",2,0,"{""District Admin"":2}"
78621,"Kirkwood School District - Classlink",,,,,"PO#02500276_KirkwoodMO_2024ReportersFrancophone2","2025-07-09","2027-08-01",234,2,"Reporters francophones 2",2,0,"{""District Admin"":2}"
78621,"Kirkwood School District - Classlink",,,,,"PO#02500276_KirkwoodMO_2024ReportersFrancophone3","2025-07-09","2027-08-01",158,2,"Reporters francophones 3",2,0,"{""District Admin"":2}"
79264,"Olentangy Local School District (OH)",79361,"Olentangy Berkshire Middle School",1,,,,,,,,,,
79264,"Olentangy Local School District (OH)",79364,"Olentangy Berlin High School",108,5,,,,,,,,,
79264,"Olentangy Local School District (OH)",79370,"Olentangy Berlin Middle School",2,1,,,,,,,,,
79264,"Olentangy Local School District (OH)",79366,"Olentangy High School",76,4,,,,,,,,,
79264,"Olentangy Local School District (OH)",79376,"Olentangy Hyatts Middle School",1,,,,,,,,,,
79264,"Olentangy Local School District (OH)",79368,"Olentangy Liberty High School",83,5,,,,,,,,,
79264,"Olentangy Local School District (OH)",79378,"Olentangy Liberty Middle School",28,1,,,,,,,,,
79264,"Olentangy Local School District (OH)",79372,"Olentangy Orange High School",94,4,,,,,,,,,
79264,"Olentangy Local School District (OH)",79374,"Olentangy Orange Middle School",,1,,,,,,,,,
79264,"Olentangy Local School District (OH)",79362,"Olentangy Shanahan Middle School",26,1,,,,,,,,,
79264,"Olentangy Local School District (OH)",,,,,"PILOT_OlentangySchoolsOH_Reporteros1","2025-07-21","2026-05-31",1403,4,"Reporteros 1",4,0,"{""District Admin"":4}"
79264,"Olentangy Local School District (OH)",,,,,"PILOT_OlentangySchoolsOH_Reporteros2","2025-07-21","2026-05-31",1232,4,"Reporteros 2 ",4,0,"{""District Admin"":4}"
79264,"Olentangy Local School District (OH)",,,,,"PILOT_OlentangySchoolsOH_Reporteros3","2025-07-21","2026-05-31",942,4,"Reporteros 3",4,0,"{""District Admin"":4}"
79264,"Olentangy Local School District (OH)",,,,,"PILOT_OlentangySchoolsOH_Reporteros4","2025-07-21","2026-05-31",234,4,"Reporteros 4",4,0,"{""District Admin"":4}"
78619,"Lakeville Area Schools - Classlink",78679,"Lake Marion Elementary School",,2,,,,,,,,,
78619,"Lakeville Area Schools - Classlink",78821,"Lakeview Elementary School",,1,,,,,,,,,
78619,"Lakeville Area Schools - Classlink",78682,"Lakeville North High School",,5,,,,,,,,,
78619,"Lakeville Area Schools - Classlink",78681,"Lakeville Online Academy High School",,2,,,,,,,,,
78619,"Lakeville Area Schools - Classlink",78684,"Lakeville Online Academy Middle School",,1,,,,,,,,,
78619,"Lakeville Area Schools - Classlink",78676,"Lakeville South High School",,7,,,,,,,,,
78619,"Lakeville Area Schools - Classlink",78678,"McGuire Middle School",,2,,,,,,,,,
78619,"Lakeville Area Schools - Classlink",78675,"Oak Hills Elementary School",,1,,,,,,,,,
78619,"Lakeville Area Schools - Classlink",,,,,"PO_ P260019_LakevilleAreaSchools_Reporteros1","2025-06-18","2031-07-01",4396,13,"Reporteros 1",15,2,"{""District Admin"":1,""School Administrator"":3,""School Teacher"":9}"
78619,"Lakeville Area Schools - Classlink",,,,,"PO_P260019_LakevilleAreaSchools_Reporteros2","2025-06-18","2031-07-01",3974,12,"Reporteros 2 ",14,2,"{""District Admin"":1,""School Administrator"":2,""School Teacher"":9}"
77618,"Millburn Township School District",77627,"Millburn Middle School",596,7,,,,,,,,,
77618,"Millburn Township School District",,,,,"PO#502375MillburnTownshipSD_Reporteros1","2025-07-01","2026-08-04",1775,2,"Reporteros 1",2,0,"{""District Admin"":2}"
77618,"Millburn Township School District",,,,,"PO#502375MillburnTownshipSD_Reporteros2","2025-07-01","2026-08-04",570,2,"Reporteros 2 ",2,0,"{""District Admin"":2}"
77618,"Millburn Township School District",,,,,"PO#502375MillburnTownshipSD_UnGol","2025-07-01","2026-08-04",1775,2,"Un gol fantástico",2,0,"{""District Admin"":2}"
77618,"Millburn Township School District",,,,,"PO#502375MillburnTownshipSD_MeDespierto","2025-07-01","2026-08-04",1775,2,"Me despierto y bailo",2,0,"{""District Admin"":2}"
77618,"Millburn Township School District",,,,,"PO#502375MillburnTownshipSD_TodoParaTodos","2026-08-04","2026-08-04",1775,2,"Todo para todos",2,0,"{""District Admin"":2}"
77617,"Olathe Unified School District 233",77634,"Olathe Advanced Technical Center",5,,,,,,,,,,
77617,"Olathe Unified School District 233",77635,"Olathe Advanced Technical Center",,,,,,,,,,,
77617,"Olathe Unified School District 233",77626,"Olathe East High School",57,2,,,,,,,,,
77617,"Olathe Unified School District 233",77628,"Olathe North High School",54,2,,,,,,,,,
77617,"Olathe Unified School District 233",77629,"Olathe Northwest High School",88,3,,,,,,,,,
77617,"Olathe Unified School District 233",77630,"Olathe Northwest High School",,,,,,,,,,,
77617,"Olathe Unified School District 233",77631,"Olathe South High School",81,2,,,,,,,,,
77617,"Olathe Unified School District 233",77632,"Olathe South High School",,,,,,,,,,,
77617,"Olathe Unified School District 233",77633,"Olathe West High School",4,1,,,,,,,,,
77617,"Olathe Unified School District 233",,,,,"BlinklearningTransfer_OlatheUSD_KlasseA1Textbook","2025-06-20","2026-07-24",314,1,"Klasse! A1 - The KWL Hub for Teachers, Klasse! A1 - The KWL Hub Textbook for Students ",1,0,"{""District Admin"":1}"
77617,"Olathe Unified School District 233",,,,,"BlinklearningTransfer_OlatheUSD_KlasseA1Workbook","2025-06-20","2026-07-24",52,1,"Klasse! A1 - The KWL Hub Workbook for Students ",1,0,"{""District Admin"":1}"
77617,"Olathe Unified School District 233",,,,,"BlinklearningTransfer_OlatheUSD_KlasseB1Textbook","2025-06-20","2026-07-24",105,1,"Klasse! B1 - The KWL Hub for Teachers, Klasse! B1 - The KWL Hub Textbook for Students ",1,0,"{""District Admin"":1}"
77617,"Olathe Unified School District 233",,,,,"BlinklearningTransfer_OlatheUSD_KlasseB1Workbook","2025-06-20","2026-07-24",155,1,"Klasse! B1 - The KWL Hub Workbook for Students ",1,0,"{""District Admin"":1}"
77617,"Olathe Unified School District 233",,,,,"PO#P2512962_OlathePSUSD_KS_Gen.AP","2025-07-03","2031-09-01",744,1,"Generación AP®",1,0,"{""District Admin"":1}"
62973,"Apple Valley Unified School District",76145,"Apple Valley High School",63,1,,,,,,,,,
62973,"Apple Valley Unified School District",76146,"Granite Hills High School",141,1,,,,,,,,,
62973,"Apple Valley Unified School District",78262,"Summer Session Apple Valley HS",12,,,,,,,,,,
62973,"Apple Valley Unified School District",78263,"Summer Session Granite Hills HS",26,,,,,,,,,,
62973,"Apple Valley Unified School District",76147,"Vanguard Preparatory",19,1,,,,,,,,,
73668,"Oxford Community School District",73675,"Oxford High School",175,1,,,,,,,,,
73668,"Oxford Community School District",73676,"Oxford Middle School",184,1,,,,,,,,,
73668,"Oxford Community School District",,,,,"OxfordCSD_PilotExtension_Reporteros1","2025-02-18","2025-09-05",238,122,"Reporteros 1",122,0,"{""District Admin"":2,""School Administrator"":2,""School Teacher"":2,""School Student"":116}"
73668,"Oxford Community School District",,,,,"OxfordCSD_PilotExtension_Reporteros2","2025-02-18","2025-09-05",143,4,"Reporteros 2 ",4,0,"{""District Admin"":2,""School Administrator"":1,""School Teacher"":1}"
72271,"East Rockaway Union Free SD",72287,"East Rockaway Jr/Sr High",393,6,,,,,,,,,
73313,"Shawnee Mission School District (KS)",73336,"Indian Hills Middle",175,1,,,,,,,,,
73313,"Shawnee Mission School District (KS)",73332,"Shawnee Mission East High",111,1,,,,,,,,,
73313,"Shawnee Mission School District (KS)",73331,"Shawnee Mission North High",98,1,,,,,,,,,
73313,"Shawnee Mission School District (KS)",73335,"Shawnee Mission Northwest High",125,1,,,,,,,,,
73313,"Shawnee Mission School District (KS)",73334,"Shawnee Mission South High",73,1,,,,,,,,,
73313,"Shawnee Mission School District (KS)",73333,"Shawnee Mission West High",33,1,,,,,,,,,
73313,"Shawnee Mission School District (KS)",73337,"Trailridge Middle",112,1,,,,,,,,,
73313,"Shawnee Mission School District (KS)",,,,,"ShawneeMission_SO-49069_SpanishReaders","2024-11-13","2025-12-17",861,1,"24 horas en Bogotá, 24 horas en Ciudad de México, En busca de la verdad, Todo para todos, Un gol fantástico",1,0,"{""District Admin"":1}"
72203,"Uniondale School District",72244,"Lawrence Road Middle School",151,2,,,,,,,,,
72203,"Uniondale School District",72243,"Turtle Hook Middle School",140,1,,,,,,,,,
72203,"Uniondale School District",72242,"Uniondale High School",112,1,,,,,,,,,
71238,"Vallejo City Unified School District",71504,"Jesse Bethel High School",136,1,,,,,,,,,
71238,"Vallejo City Unified School District",71503,"Vallejo High School",314,4,,,,,,,,,
71238,"Vallejo City Unified School District",,,,,"POPO25-00601_Defifrancophone1-2","2024-09-04","2025-10-08",100,5,"Défi francophone 1, Défi francophone 2",5,0,"{""District Admin"":3,""School Administrator"":1,""School Teacher"":1}"
71238,"Vallejo City Unified School District",,,,,"PO25-00601_Reportersfrancophones1-3","2024-09-04","2025-10-08",400,142,"Reporters francophones 1, Reporters francophones 2, Reporters francophones 3",142,0,"{""District Admin"":3,""School Administrator"":2,""School Teacher"":3,""School Student"":134}"
71238,"Vallejo City Unified School District",,,,,"PO25-00601_Proyectos1-2","2024-09-04","2025-10-08",310,7,"Proyectos 1, Proyectos 2",7,0,"{""District Admin"":3,""School Administrator"":1,""School Teacher"":3}"
71205,"Franklin Towne Charter High School",71206,"Franklin Towne Charter High School",171,3,,,,,,,,,
71205,"Franklin Towne Charter High School",,,,,"PO#2425-000119_FranklinTowneCS_Rep1_Teacher3year","2025-03-26","2027-12-11",6,6,"Reporteros 1",6,0,"{""District Admin"":2,""School Administrator"":1,""School Teacher"":3}"
